PLAYER_ID,PLAYER_NAME,GP,MIN_TOTAL,PRIMARY_DECADE,ERA_LABEL,HP_PCT,ATTACK_PCT,DEFENSE_PCT,SPATK_PCT,SPDEF_PCT,SPEED_PCT
2,Byron Scott,79,1439.7783333333334,1990,Hand-Check Grind,47.01534963047186,55.599772598067084,56.16827743035816,51.90449118817509,33.71233655486071,50.71063104036384
3,Grant Long,370,8083.416666666667,1990,Hand-Check Grind,58.63627640890778,21.560041318494754,59.518163707998156,38.75315222438898,65.47137648856308,25.582987956450417
7,Dan Schayes,138,1956.3183333333334,1990,Hand-Check Grind,36.95093304933976,31.168282092056035,63.801814772489905,19.939484293746734,49.284967118119525,5.155331262820405
15,Eric Piatkowski,643,12617.42,2000,Isolation Half-Court,55.0523458851623,65.20595858323101,34.192730214380596,39.145523878436485,35.35120097377354,48.42187295510926
17,Clyde Drexler,132,4745.398333333333,1990,Hand-Check Grind,90.5402225455601,89.57173835111742,36.439538259392,87.62465095642668,67.58364582981828,45.438159833958984
21,Greg Anthony,395,7612.115,1990,Hand-Check Grind,53.0208669189996,47.65229860358438,48.23595263926064,88.74789243283851,56.142442907438664,24.184435476315382
22,Rik Smits,253,6724.886666666666,1990,Hand-Check Grind,68.68179632973035,95.84597916739898,46.2722486255783,36.813199371954084,47.172923685481976,27.32302032614104
23,Dennis Rodman,170,5855.108333333333,1990,Hand-Check Grind,87.11269763872504,3.729486934359354,53.84758472613786,47.74387419522806,56.22418033406034,15.542046369818836
26,Luc Longley,253,5827.871666666667,1990,Hand-Check Grind,61.58073536158166,51.09805093642839,75.62323584621849,51.579192470180125,44.161527879602204,27.135051960320105
28,Doug West,173,3660.911666666667,1990,Hand-Check Grind,58.216781770232096,21.78724399878224,39.97642608742261,47.92604199957531,30.833910509957185,40.79677180211659
29,Jim McIlvaine,266,4197.888333333333,1990,Hand-Check Grind,40.21827326096403,8.041192375312958,62.572770368230444,8.60539878950024,47.09484619286225,51.75165087364182
42,Monty Williams,384,6940.915,1990,Hand-Check Grind,46.219049813781176,60.97541328171008,54.00697777165384,57.72358205240578,48.868476785646536,55.29272562729642
43,Chris Whitney,493,9194.006666666666,2000,Isolation Half-Court,51.18275336393334,59.53310854030231,47.623364020969355,88.2798824778881,40.83627471613144,52.66578234609425
45,George McCloud,398,9905.221666666666,1990,Hand-Check Grind,64.45418774584012,56.14912619658932,30.35014291177874,67.66421325524145,48.551488826801986,55.358270094210994
49,Gheorghe Muresan,104,2112.6499999999996,1990,Hand-Check Grind,58.71970324890024,71.23652565980663,64.19770645240271,8.39566578740126,57.5577495316492,44.890676882684026
51,Mahmoud Abdul-Rauf,147,3151.6450000000004,1990,Hand-Check Grind,60.4500265925981,85.10717671140291,24.97354669364404,73.6435387533476,22.007979217768828,42.97554472409579
53,Mario Elie,345,9694.028333333332,1990,Hand-Check Grind,72.61852538320893,33.21867032884769,59.25478194459347,65.78016207209134,42.05404620179131,37.021885725268376
54,Dickey Simpkins,208,3932.92,1990,Hand-Check Grind,57.37322766680502,21.54345309702149,50.31818338284992,45.36281939396039,47.76508954308539,24.775282531368948
55,Marty Conlon,102,1865.1016666666667,1990,Hand-Check Grind,51.86152533565054,53.25796121365354,15.669830273050755,46.387002486393335,54.663690889662426,81.01194576455335
56,Gary Payton,845,30739.463333333333,2000,Isolation Half-Court,92.10667206316367,78.2961411506138,43.19583334551903,93.52700961188285,55.786193671056964,36.72069974003967
57,Doug Christie,672,23117.845,2000,Isolation Half-Court,87.3665589436167,49.39662908282335,50.885627184321244,73.808485609767,66.65751801812264,65.15255532193939
61,Carl Herrera,161,2652.5383333333334,1990,Hand-Check Grind,49.460557168398935,37.828869921132544,30.71761731189426,18.960821819737575,60.74785241597936,14.866284968167497
63,Michael Smith,302,7428.336666666666,1990,Hand-Check Grind,64.46842648908357,11.799280536111063,19.469548333446056,46.39242311198923,76.44911171269834,41.53924487618346
64,Sam Perkins,355,7061.308333333333,1990,Hand-Check Grind,51.76234122166508,49.70517350009284,73.56146331995967,36.251490939476504,54.83905460651061,26.60880839084645
65,Greg Minor,136,2439.835,1990,Hand-Check Grind,46.777856869888964,39.86629560720639,75.59931563529018,51.46054935333544,50.495330205507244,73.71720126591178
67,Tom Hammonds,250,4016.838333333333,1990,Hand-Check Grind,46.56614876219131,31.86046551897305,26.43531733768381,18.743073618848648,39.468327867593565,58.48167414219767
